MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;14-02-2021;00:00:00;;4114;4114;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;15-02-2021;00:00:00;;3658;3658;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;16-02-2021;00:00:00;;3317;3317;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;17-02-2021;00:00:00;;3128;3128;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;18-02-2021;00:00:00;;3011;3011;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;19-02-2021;00:00:00;;2976;2976;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;20-02-2021;00:00:00;;2978;2978;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;21-02-2021;00:00:00;;2963;2963;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;22-02-2021;00:00:00;;2913;2913;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;23-02-2021;00:00:00;;2811;2811;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;24-02-2021;00:00:00;;2666;2666;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;25-02-2021;00:00:00;;2519;2519;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;26-02-2021;00:00:00;;2416;2416;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
;Lobith;LOBH;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;Gemiddelde;GEM;Debiet uit Q-f relatie;other:F216;;;27-02-2021;00:00:00;;2319;2319;Normale waarde;;;;Ongecontroleerd;RIZAMON_AFVOER;;;;;;;-999999999;NVT;25831;713748,798641064;5748949,04523234;;;;;;;
